"Timestamp","mbti","fav_colour","life_value","settle_city","single_child","comfort_zone","parental_relationship","childhood_experience","parent_contact_frequency","place_grow_up","age"
"2024/10/17 12:54:26 PM GMT+1","INTP","blue","family","bustling metropolis","yes","by yourself","neutral","neutral","daily","bustling metropolis","16 to 25"
"2024/10/17 12:58:32 PM GMT+1","No idea","red","family","everywhere","no","by yourself","positive","positive","daily","bustling metropolis","16 to 25"
"2024/10/17 1:02:58 PM GMT+1","No idea","green","family","no place","no","with someone","positive","neutral","monthly","countryside village","16 to 25"
"2024/10/17 1:06:48 PM GMT+1","ENFJ","red","family","coastal","no","with someone","positive","positive","daily","countryside village","25  to 35"
"2024/10/17 1:07:15 PM GMT+1","ENFP","blue","family","coastal","yes","","neutral","positive","weekly","quiet suburb","16 to 25"
"2024/10/17 1:09:55 PM GMT+1","ENTP","blue","Myself","quiet suburb","yes","with someone","positive","positive","weekly","bustling metropolis","16 to 25"
"2024/10/17 1:12:03 PM GMT+1","INFP","no favourite colour","career","countryside village","yes","with someone","positive","positive","daily","quiet suburb","16 to 25"
"2024/10/17 1:28:12 PM GMT+1","INFJ","blue","career","bustling metropolis","yes","by yourself","neutral","challenging","weekly","coastal","16 to 25"
"2024/10/17 1:31:09 PM GMT+1","No idea","red","meaningful relationships in general ","coastal","no","with someone","positive","positive","daily","coastal","25  to 35"
"2024/10/17 1:35:05 PM GMT+1","ENTJ","no favourite colour","all above ","everywhere","yes","with someone","neutral","positive","weekly","bustling metropolis","16 to 25"
"2024/10/17 1:35:30 PM GMT+1","No idea","yellow","friendship","everywhere","no","with someone","positive","positive","monthly","everywhere","25  to 35"
"2024/10/17 1:39:22 PM GMT+1","No idea","green","family","bustling metropolis","no","by yourself","neutral","positive","weekly","bustling metropolis","25  to 35"
"2024/10/17 1:41:36 PM GMT+1","INFJ","blue","friendship","everywhere","no","by yourself","challenging","challenging","daily","Isolated country","16 to 25"
"2024/10/17 1:47:12 PM GMT+1","INFP","blue","friendship","bustling metropolis","no","by yourself","positive","challenging","weekly","bustling metropolis","16 to 25"
"2024/10/17 1:53:52 PM GMT+1","INTJ","no favourite colour","romantic affection","everywhere","no","by yourself","positive","positive","daily","bustling metropolis","16 to 25"
"2024/10/17 2:01:22 PM GMT+1","INFP","blue","Happiness","mountain","no","by yourself","neutral","neutral","weekly","bustling metropolis","25  to 35"
"2024/10/17 2:05:49 PM GMT+1","ISTP","blue","friendship","quiet suburb","no","by yourself","positive","neutral","daily","bustling metropolis","16 to 25"
"2024/10/17 2:13:34 PM GMT+1","INFP","blue","family","quiet suburb","no","by yourself","positive","positive","weekly","bustling metropolis","25  to 35"
"2024/10/20 2:29:43 PM GMT+1","ENFJ","blue","family","quiet suburb","no","by yourself","positive","positive","weekly","bustling metropolis","above 40"